Row_ID,Order_Date,Ship_Date,Ship_Mode,Segment,City,State,Region,Category,Sub_Category,Product_Name,Sales,Quantity,Discount,Profit
1,2014-01-03,2014-01-07,Standard Class,Consumer,Houston,Texas,Central,Office Supplies,Paper,Message Book Wirebound Four 5 1/2 X 4 Forms/Pg. 200 Dupl. Sets/Book,16.45,2,0.2,5.55
2,2014-01-04,2014-01-08,Standard Class,Home Office,Naperville,Illinois,Central,Office Supplies,Labels,Avery 508,11.78,3,0.2,4.27
3,2014-01-04,2014-01-08,Standard Class,Home Office,Naperville,Illinois,Central,Office Supplies,Storage,SAFCO Boltless Steel Shelving,272.74,3,0.2,-64.77
4,2014-01-04,2014-01-08,Standard Class,Home Office,Naperville,Illinois,Central,Office Supplies,Binders,GBC Standard Plastic Binding Systems Combs,3.54,2,0.8,-5.49
5,2014-01-05,2014-01-12,Standard Class,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Art,Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters 4/Pack,19.54,3,0.2,4.88
6,2014-01-06,2014-01-08,Second Class,Consumer,Los Angeles,California,West,Office Supplies,Paper,Xerox 225,19.44,3,0,9.33
7,2014-01-06,2014-01-07,First Class,Corporate,Athens,Georgia,South,Office Supplies,Art,Dixon Prang Watercolor Pencils 10-Color Set with Brush,12.78,3,0,5.24
8,2014-01-06,2014-01-10,Standard Class,Home Office,Henderson,Kentucky,South,Furniture,Chairs,Global Deluxe High-Back Managers Chair,2573.82,9,0,746.41
9,2014-01-06,2014-01-10,Standard Class,Home Office,Henderson,Kentucky,South,Office Supplies,Binders,Ibico Hi-Tech Manual Binding System,609.98,2,0,274.49
10,2014-01-06,2014-01-10,Standard Class,Home Office,Henderson,Kentucky,South,Office Supplies,Art,Rogers Handheld Barrel Pencil Sharpener,5.48,2,0,1.48
11,2014-01-06,2014-01-10,Standard Class,Home Office,Henderson,Kentucky,South,Technology,Phones,GE 30524EE4,391.98,2,0,113.67
12,2014-01-06,2014-01-10,Standard Class,Home Office,Henderson,Kentucky,South,Technology,Phones,Wireless Extenders zBoost YX545 SOHO Signal Booster,755.96,4,0,204.11
13,2014-01-06,2014-01-10,Standard Class,Home Office,Henderson,Kentucky,South,Office Supplies,Fasteners,Alliance Super-Size Bands Assorted Sizes,31.12,4,0,0.31
14,2014-01-06,2014-01-10,Standard Class,Home Office,Henderson,Kentucky,South,Office Supplies,Paper,Southworth 25 Cotton Granite Paper & Envelopes,6.54,1,0,3.01
15,2014-01-07,2014-01-12,Standard Class,Consumer,Huntsville,Texas,Central,Furniture,Furnishings,Howard Miller 14-1/2 Diameter Chrome Round Wall Clock,76.73,3,0.6,-53.71
16,2014-01-07,2014-01-12,Standard Class,Consumer,Huntsville,Texas,Central,Office Supplies,Binders,Acco Four Pocket Poly Ring Binder with Label Holder Smoke 1,10.43,7,0.8,-18.25
17,2014-01-09,2014-01-13,Standard Class,Consumer,Laredo,Texas,Central,Office Supplies,Art,Newell 312,9.34,2,0.2,1.17
18,2014-01-09,2014-01-13,Standard Class,Consumer,Laredo,Texas,Central,Technology,Accessories,Memorex Micro Travel Drive 8 GB,31.2,3,0.2,9.75
19,2014-01-10,2014-01-15,Standard Class,Corporate,Springfield,Virginia,South,Office Supplies,Labels,Avery 482,2.89,1,0,1.36
20,2014-01-10,2014-01-15,Standard Class,Corporate,Springfield,Virginia,South,Furniture,Furnishings,Howard Miller 11-1/2 Diameter Ridgewood Wall Clock,51.94,1,0,21.3
21,2014-01-11,2014-01-14,First Class,Consumer,Dover,Delaware,East,Furniture,Furnishings,DAX Value U-Channel Document Frames Easel Back,9.94,2,0,3.08
22,2014-01-13,2014-01-15,Second Class,Corporate,Bossier City,Louisiana,South,Office Supplies,Envelopes,Staple envelope,11.36,2,0,5.34
23,2014-01-13,2014-01-15,Second Class,Corporate,Bossier City,Louisiana,South,Office Supplies,Envelopes,Brown Kraft Recycled Envelopes,50.94,3,0,25.47
24,2014-01-13,2014-01-15,Second Class,Corporate,Bossier City,Louisiana,South,Technology,Accessories,Plantronics S12 Corded Telephone Headset System,646.74,6,0,258.7
25,2014-01-13,2014-01-15,Second Class,Corporate,Bossier City,Louisiana,South,Office Supplies,Binders,3-ring staple pack,5.64,3,0,2.71
26,2014-01-13,2014-01-15,Second Class,Corporate,Bossier City,Louisiana,South,Office Supplies,Storage,Fellowes Stor/Drawer Steel Plus Storage Drawers,572.58,6,0,34.35
27,2014-01-13,2014-01-16,Second Class,Consumer,Mount Pleasant,South Carolina,South,Furniture,Chairs,Global Highback Leather Tilter in Burgundy,545.94,6,0,87.35
28,2014-01-13,2014-01-18,Standard Class,Consumer,San Francisco,California,West,Office Supplies,Storage,Tennsco 6- and 18-Compartment Lockers,1325.85,5,0,238.65
29,2014-01-13,2014-01-18,Standard Class,Consumer,San Francisco,California,West,Furniture,Bookcases,OSullivan Elevations Bookcase Cherry Finish,334,3,0.15,3.93
30,2014-01-13,2014-01-18,Standard Class,Consumer,San Francisco,California,West,Office Supplies,Art,4009 Highlighters by Sanford,19.9,5,0,6.57
31,2014-01-13,2014-01-18,Standard Class,Consumer,Newark,Ohio,East,Office Supplies,Paper,Xerox 1923,37.41,7,0.2,13.09
32,2014-01-13,2014-01-18,Standard Class,Consumer,Newark,Ohio,East,Office Supplies,Binders,Avery Metallic Poly Binders,3.44,2,0.7,-2.52
